region;country;zone;lat;lon;url;ref
poland;zwardon;zwardon ski ski slope;49.5073532;18.9841846;https://worldcam.eu/webcams/poland/zwardon/11574-zwardon-ski-ski-slope;11574
poland;sroda slaska;market square;51.1629624;16.5921401;https://worldcam.eu/webcams/poland/sroda-slaska/7889-market-square;7889
poland;gluszyca;city view;50.6651505;16.3563882;https://worldcam.eu/webcams/poland/gluszyca/18467-city-view;18467
poland;torun;monument to nicolaus copernicus;46.7912859;-0.2125116;https://worldcam.eu/webcams/poland/torun/29605-monument-to-nicolaus-copernicus;29605
poland;rajgrod;lake rajgrodzkie;53.731476;22.6608346;https://worldcam.eu/webcams/poland/rajgrod/20140-lake-rajgrodzkie;20140
poland;zakliczyn;market square;49.8547647;20.8075658;https://worldcam.eu/webcams/poland/zakliczyn/10638-market-square;10638
poland;gilczarow gorny;tatra mountains;49.348495;20.0501721;https://worldcam.eu/webcams/poland/gilczarow-gorny/98-tatra-mountains;98
poland;warsaw;downtown skyscrapers;52.2312709;20.998479;https://worldcam.eu/webcams/poland/warsaw/20132-downtown-skyscrapers;20132
poland;wisla;market square;49.660169;18.8531499;https://worldcam.eu/webcams/poland/wisla/10795-market-square;10795
poland;karpacz;schronisko gorskie dom slaski sniezka;50.7394523;15.7289752;https://worldcam.eu/webcams/poland/karpacz/25642-schronisko-gorskie-dom-slaski-sniezka;25642
poland;wegorzewo;nowy harsz dargin lake;54.1273673;21.7761688;https://worldcam.eu/webcams/poland/wegorzewo/19494-nowy-harsz-dargin-lake;19494
poland;cedry wielkie;marina blotnik;54.2885145;18.9219815;https://worldcam.eu/webcams/poland/cedry-wielkie/8333-marina-blotnik;8333
poland;ustrzyki dolne;market square;49.4293294;22.5954389;https://worldcam.eu/webcams/poland/ustrzyki-dolne/4245-market-square;4245
poland;biala podlaska;slawacinek stary storks;52.0303388;23.0744715;https://worldcam.eu/webcams/poland/biala-podlaska/10889-slawacinek-stary-storks;10889
poland;niedzica;church;49.4158771;20.3083947;https://worldcam.eu/webcams/poland/niedzica/14653-church;14653
poland;korbielow;andiamo ski area;49.5656469;19.3512289;https://worldcam.eu/webcams/poland/korbielow/19518-andiamo-ski-area;19518
poland;gabin;aleja jana pawla ii;52.3995053;19.7404964;https://worldcam.eu/webcams/poland/gabin/35456-aleja-jana-pawla-ii;35456
poland;wladyslawowo;beach;54.7709812;18.4398845;https://worldcam.eu/webcams/poland/wladyslawowo/13992-beach;13992
poland;sztum;several views;53.9220644;19.0359445;https://worldcam.eu/webcams/poland/sztum/15079-several-views;15079
poland;dukla;mareszka ski resort;49.5433644;21.3304552;https://worldcam.eu/webcams/poland/dukla/7250-mareszka-ski-resort;7250
poland;debica;swimming pool;50.0522551;21.4056603;https://worldcam.eu/webcams/poland/debica/13577-swimming-pool;13577
poland;puck;lubkowo lake zarnowiec dps;54.7724509;18.0632669;https://worldcam.eu/webcams/poland/puck/21974-lubkowo-lake-zarnowiec-dps;21974
poland;dzwirzyno;beach and port;54.1629796;15.4136873;https://worldcam.eu/webcams/poland/dzwirzyno/16774-beach-and-port;16774
poland;puck;brzyno lake zarnowiec;54.7594608;18.0580609;https://worldcam.eu/webcams/poland/puck/15413-brzyno-lake-zarnowiec;15413
poland;opole;tulowice park;50.591936;17.658861;https://worldcam.eu/webcams/poland/opole/16752-tulowice-park;16752
poland;lublin;plac litewski;51.249018;22.5597808;https://worldcam.eu/webcams/poland/lublin/6110-plac-litewski;6110
poland;krynica zdroj;bulwary dietla the fountain;49.4177469;20.9588019;https://worldcam.eu/webcams/poland/krynica-zdroj/13809-bulwary-dietla-the-fountain;13809
poland;pobiedziska;kestrels;52.4802573;17.2639181;https://worldcam.eu/webcams/poland/pobiedziska/23818-kestrels;23818
poland;mielec;church;50.2914281;21.4919806;https://worldcam.eu/webcams/poland/mielec/20211-church;20211
poland;skarzysko kamienna;sanktuarium matki bozej ostrobramskiej;51.1218397;20.8595009;https://worldcam.eu/webcams/poland/skarzysko-kamienna/9613-sanktuarium-matki-bozej-ostrobramskiej;9613
poland;przemysl;market square;49.7823261;22.7689463;https://worldcam.eu/webcams/poland/przemysl/14562-market-square;14562
poland;polanica zdroj;panoramic view;50.3929034;16.508503;https://worldcam.eu/webcams/poland/polanica-zdroj/15299-panoramic-view;15299
