region;country;zone;ref;url
south america;peru;mancora beach;28083;https://worldcam.eu/webcams/south-america/peru/28083-mancora-beach
south america;brazil;passos rua pres antonio carlos;29476;https://worldcam.eu/webcams/south-america/brazil/29476-passos-rua-pres-antonio-carlos
south america;argentina;santiago del estero panoramic view;25437;https://worldcam.eu/webcams/south-america/argentina/25437-santiago-del-estero-panoramic-view
south america;cura ao;willemstad brionplein koningin emmabrug;31324;https://worldcam.eu/webcams/south-america/cura-ao/31324-willemstad-brionplein-koningin-emmabrug
south america;brazil;juiz de fora traffic;17812;https://worldcam.eu/webcams/south-america/brazil/17812-juiz-de-fora-traffic
south america;peru;punta hermosa playa senoritas;35345;https://worldcam.eu/webcams/south-america/peru/35345-punta-hermosa-playa-senoritas
south america;argentina;mar del plata playa biologia;18625;https://worldcam.eu/webcams/south-america/argentina/18625-mar-del-plata-playa-biologia
south america;peru;lima miraflores kennedy park;31521;https://worldcam.eu/webcams/south-america/peru/31521-lima-miraflores-kennedy-park
south america;peru;san antonio playa puerto viejo;35173;https://worldcam.eu/webcams/south-america/peru/35173-san-antonio-playa-puerto-viejo
south america;brazil;sao paulo sao paulo congonhas airport;34679;https://worldcam.eu/webcams/south-america/brazil/34679-sao-paulo-sao-paulo-congonhas-airport
south america;peru;otuzco plaza de armas;31042;https://worldcam.eu/webcams/south-america/peru/31042-otuzco-plaza-de-armas
south america;brazil;rubineia parana river praia do sol;32028;https://worldcam.eu/webcams/south-america/brazil/32028-rubineia-parana-river-praia-do-sol
south america;brazil;guaratuba several views;26587;https://worldcam.eu/webcams/south-america/brazil/26587-guaratuba-several-views
south america;brazil;picada cafe panoramic view;28718;https://worldcam.eu/webcams/south-america/brazil/28718-picada-cafe-panoramic-view
south america;brazil;ubatuba beach;26045;https://worldcam.eu/webcams/south-america/brazil/26045-ubatuba-beach
south america;brazil;imperatriz several views;19748;https://worldcam.eu/webcams/south-america/brazil/19748-imperatriz-several-views
south america;argentina;pinamar carilo hemingway beach;35099;https://worldcam.eu/webcams/south-america/argentina/35099-pinamar-carilo-hemingway-beach
south america;peru;lima barranco barranquito beach;25456;https://worldcam.eu/webcams/south-america/peru/25456-lima-barranco-barranquito-beach
south america;argentina;buenos aires avenida 9 de julio;35657;https://worldcam.eu/webcams/south-america/argentina/35657-buenos-aires-avenida-9-de-julio
south america;argentina;comodoro rivadavia;31631;https://worldcam.eu/webcams/south-america/argentina/31631-comodoro-rivadavia
south america;peru;talara playa lobitos;27213;https://worldcam.eu/webcams/south-america/peru/27213-talara-playa-lobitos
south america;brazil;armacao dos buzios praia de joao fernandes;28088;https://worldcam.eu/webcams/south-america/brazil/28088-armacao-dos-buzios-praia-de-joao-fernandes
south america;chile;vina del mar renaca beach;26222;https://worldcam.eu/webcams/south-america/chile/26222-vina-del-mar-renaca-beach
