timestamp;event;ip;hostname
2025-06-18 05:17:41;JOIN;192.168.1.31;Unknown
2025-06-18 05:17:41;LEAVE;192.168.1.56;Unknown
2025-06-18 05:17:41;LEAVE;192.168.1.32;Unknown
2025-06-18 05:17:43;JOIN;192.168.1.56;Unknown
2025-06-18 05:17:43;JOIN;192.168.1.32;Unknown
2025-06-18 05:17:43;LEAVE;192.168.1.22;Unknown
2025-06-18 05:17:45;JOIN;192.168.1.22;Unknown
2025-06-18 05:17:45;JOIN;192.168.1.92;Unknown
2025-06-18 05:17:45;LEAVE;192.168.1.32;Unknown
2025-06-18 05:17:45;LEAVE;192.168.1.31;Unknown
2025-06-18 05:17:47;JOIN;192.168.1.49;Unknown
2025-06-18 05:17:47;LEAVE;192.168.1.92;Unknown
2025-06-18 05:17:47;LEAVE;192.168.1.69;Unknown
2025-06-18 05:17:49;JOIN;192.168.1.69;Unknown
2025-06-18 05:17:49;LEAVE;192.168.1.40;Unknown
2025-06-18 05:17:49;LEAVE;192.168.1.89;Unknown
2025-06-18 05:17:49;LEAVE;192.168.1.41;Unknown
2025-06-18 05:17:49;LEAVE;192.168.1.49;Unknown
2025-06-18 05:17:51;JOIN;192.168.1.40;Unknown
2025-06-18 05:17:51;JOIN;192.168.1.41;Unknown
2025-06-18 05:17:51;JOIN;192.168.1.32;Unknown
2025-06-18 05:17:53;JOIN;192.168.1.92;Unknown
2025-06-18 05:17:53;JOIN;192.168.1.89;Unknown
2025-06-18 05:17:53;LEAVE;192.168.1.37;Unknown
2025-06-18 05:17:53;LEAVE;192.168.1.36;Unknown
2025-06-18 05:17:53;LEAVE;192.168.1.34;Unknown
2025-06-18 05:17:53;LEAVE;192.168.1.206;Unknown
2025-06-18 05:17:53;LEAVE;192.168.1.68;Unknown
2025-06-18 05:17:56;JOIN;192.168.1.34;Unknown
2025-06-18 05:17:56;JOIN;192.168.1.36;Unknown
2025-06-18 05:17:56;JOIN;192.168.1.37;Unknown
2025-06-18 05:17:56;JOIN;192.168.1.68;Unknown
2025-06-18 05:17:56;JOIN;192.168.1.206;Unknown
2025-06-18 05:17:56;LEAVE;192.168.1.92;Unknown
2025-06-18 05:17:56;LEAVE;192.168.1.41;Unknown
2025-06-18 05:17:58;LEAVE;192.168.1.32;Unknown
2025-06-18 05:17:58;LEAVE;192.168.1.1;Unknown
2025-06-18 05:18:00;JOIN;192.168.1.1;_gateway
2025-06-18 05:18:00;JOIN;192.168.1.41;Unknown
2025-06-18 05:18:00;JOIN;192.168.1.32;Unknown
2025-06-18 05:18:00;JOIN;192.168.1.31;Unknown
2025-06-18 05:18:00;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:00;LEAVE;192.168.1.69;Unknown
2025-06-18 05:18:02;JOIN;192.168.1.69;Unknown
2025-06-18 05:18:02;LEAVE;192.168.1.32;Unknown
2025-06-18 05:18:02;LEAVE;192.168.1.89;Unknown
2025-06-18 05:18:02;LEAVE;192.168.1.31;Unknown
2025-06-18 05:18:02;LEAVE;192.168.1.47;Unknown
2025-06-18 05:18:05;JOIN;192.168.1.49;Unknown
2025-06-18 05:18:05;JOIN;192.168.1.89;Unknown
2025-06-18 05:18:05;LEAVE;192.168.1.36;Unknown
2025-06-18 05:18:05;LEAVE;192.168.1.50;Unknown
2025-06-18 05:18:07;JOIN;192.168.1.36;Unknown
2025-06-18 05:18:07;JOIN;192.168.1.50;Unknown
2025-06-18 05:18:07;JOIN;192.168.1.47;Unknown
2025-06-18 05:18:07;LEAVE;192.168.1.49;Unknown
